number	en
649	Midst the darkness, storm, and sorrow
650	When my blest Lord will come again
651	Thou art coming, O my Savior
652	Hail to the Lord’s Anointed
653	Rejoice! Rejoice! Our Bridegroom’s coming
654	Will Jesus find us watching
655	Christ comes quickly for His Bride
656	Work of faith, labor of love, patience of hope
657	Come let us sing: Praise to our King
658	The victory is won!
659	Our goal—the holy city with the Lord
660	He looked for a city
661	Glorious things of thee are spoken
662	How true it is no heart may comprehend
663	There is a stream which issues forth
664	No more in earthen vessels
665	What a wonderful Savior!
666	Jesus, my Savior, to Bethlehem came
667	One day
668	The Great Physician
669	We have heard the joyful sound
670	Yesterday, today, forever
671	All the way to Calvary He went for me
672	Jesus paid it all
673	Alas, and did my Savior bleed?
674	Why should I worry, doubt and fear?
675	Free from the law—oh, happy condition!
676	It is finish’d! yes, indeed
677	When I see the blood
678	There is a fountain filled with blood
679	Are you washed in the blood
680	Nothing but the blood of Jesus
681	There is power in the blood
682	The cleansing stream I see
683	Precious, precious blood of Jesus
684	Oh, how He loves!
685	Come let us sing of a wonderful love
686	Jesus’ love, precious love
687	Grace greater than our sin
688	Life! Life! eternal life
689	Hath everlasting life
690	I’ve tried in vain a thousand ways
691	The light of the world is Jesus
692	You must be born again
693	Come home!
694	Calling today
695	Only trust Him!
696	Whosoever will may come!
697	Have you any room for Jesus
698	Let Jesus come into your heart
699	Hark, the Savior’s knocking
700	Almost persuaded
701	Be in time!
702	Just as I am
703	Jesus, I come to Thee!
704	I hear Thy welcome voice
705	Lord, I’m coming home
706	All things are ready
707	Jesus, lover of my soul
708	Rock of Ages
709	There is room in my heart for Thee
710	Into my heart
711	I am trusting Thee
712	Jesus, I will trust Thee
713	I love to tell the story
714	Jesus breaks every fetter!
715	Glory to His name!
716	They were borne on the cross
717	In tenderness He sought me
718	Love lifted me!
719	Sinners Jesus will receive
720	There were ninety and nine
721	Tell me the old, old story
722	If I gained the world, but lost the Savior
723	Ours is a fellowship in the gospel
724	Sound ye the trumpet-call
725	Publish glad tidings
726	He shall reign o’er all the earth
727	Rescue the perishing
728	All pow’r is given unto me
729	A missionary cry
730	Where Thou Thyself wilt come
731	Ashamed of Jesus!
732	Love is the way
733	Must I go, and empty-handed
765	Of all the gifts Thy love bestows
768	O God and Father, we our praises bring
769	What grace, O Lord, and beauty shone
770	Praise Him forevermore
772	Glory, honor, praise and power
775	Lord Jesus Christ, our heart feels sweet
776	Come, Lord, as the Spirit come
777	While fighting for my Savior here
782	In death's waters I am buried
783	Lord, when by baptism we confess
784	Already dead! And buried too!
788	Work, for the night is coming
790	A mind at perfect peace with God
794	Wonderful grand new song of the Lamb
795	Come, ye that love the Lord
796	If Thou shouldst take my love away
797	Thy way, not mine, O Lord
800	Father, I know that all my life
801	Jesus, cast a look on me
802	Hast thou heard Him, seen Him, known Him?
804	How can I ever stay away
805	Lord, here I take my cross now to follow Thee
806	He is most dear to me
807	Give up the world, Christ to obtain
809	The King of love my Shepherd is
810	Thy name is sweet as ointment poured forth
811	Sun of my soul, Thou Savior dear
813	’Tis so sweet to walk with Jesus
814	Oh, how the thought of God attracts
816	If I'd know Christ's risen power
818	Amid the trials that I meet
819	When I fear my faith will fail
822	Have you felt the Father's love?
823	Fresh as the dew of the morning
824	Live in the light of life
828	O hope of glory, our Christ will return!
835	When the toils of life are over
836	Merciful and loving
837	Christ has become one with sinners
838	Christ the Savior is just the One you need
841	I hear my risen Savior say
844	Jesus lingers still: ’tis for you He waits
845	O do not let the Word depart
847	Sowing in the morning, sowing seeds of kindness
848	I have a Savior, He’s pleading in glory
